devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,radio.silenceN
5.215468005,8.203593656,0.690391792,0.055464636,1.350698368,-0.658417357,-1.074112206,0.710767946,-0.850894679,0.271464484,-0.162983414,-0.54376569,5.686763088,6.501726734,0.779625029,-1.027448735,-0.394868514,-0.447098731,-0.383454611,-0.45488502,-0.461759462,-0.375700554,-1.373359226,-0.960542202,0.563237423,1.263046974,-0.274050249,-0.514241973,-0.202877929,-1.320640534,-0.215344923,1.279062075,0.093904631,-1.034972907,7.068184815,0.757179515,0.387013806,0.762715303,-0.347019204,-0.843152552,DECREASE
4.884765707,6.654486823,1.761495008,-0.142053313,0.808118397,-0.1015841,-1.116735222,2.839252732,-0.215336185,1.110652117,-0.097047917,-0.54376569,5.956277927,6.316356323,1.225862628,-1.044548162,-0.1243561,0.027883662,-0.065639216,0.05703974,0.093126575,-0.058214458,-0.660436409,-0.737559786,0.178138277,0.51473712,0.148474663,-0.514241973,-0.476417929,-1.599604833,0.27963606,1.698157292,0.553951926,-1.047482514,7.068184815,1.598332745,-0.511480557,0.603264945,0.007354121,-1.048315015,DECREASE
4.165001884,5.725022723,1.46835097,-0.174972971,0.808625955,-0.109531764,-1.103867896,1.214882764,-0.603330892,2.789027383,0.458694125,-0.54376569,4.945597283,5.415985755,1.388130846,-1.036979563,-0.394868514,0.05041723,0.096734412,0.129441514,0.099150332,0.018717172,-0.432282135,-0.811363825,0.280584524,0.518441624,-0.221603975,-0.512104332,0.448382345,-0.723031667,0.663608307,1.019496821,0.702904302,-1.043729632,6.048053551,1.73852495,-0.38312422,0.452701984,0.170604754,-1.011421765,DECREASE
4.385470082,5.824608162,1.874242715,-0.537089211,0.705084034,0.062833213,-1.218869621,1.606972066,-0.506332215,1.530245934,0.015984363,-0.54376569,5.39478868,5.839689552,1.06359441,-1.044548162,0.297907181,0.004318022,0.016545366,0.050752945,0.021892152,0.108952358,-0.548968105,-0.933323691,0.152218142,0.17886207,0.271095529,-0.513529426,0.292379064,-1.103000282,0.260866467,1.331712228,0.534327531,-1.052486357,6.543545879,1.411409805,-0.511480557,0.619471375,-0.016536215,-1.043815838,STABLE
3.302582168,4.496802305,1.310504181,-0.438330237,0.72893928,0.007199561,-1.16659611,1.887035854,-0.206649736,4.46740265,1.143952322,-0.54376569,3.8899975,4.939318984,1.225862628,-1.038381156,-0.157945225,0.086253058,0.126667455,0.179874048,0.129129027,0.017354102,-0.633399416,-0.708247543,0.31884758,-0.216285047,-0.293994606,-0.510679238,-0.068779218,-1.143882982,-0.114525394,1.375938356,0.34966519,-1.033721946,5.494268007,1.504871275,-0.254767882,0.455315924,0.137423731,-0.969129503,INCREASE
3.347972679,4.286566378,1.648747301,-0.570008869,0.543172892,0.219799591,-1.216456997,1.775010339,-0.261663911,1.110652117,-0.045241455,-0.54376569,3.306048683,3.933022467,1.185295574,-1.044548162,-0.150747555,0.029030408,0.003206782,0.115209868,0.174377245,0.004105069,-0.530469109,-0.578436183,0.848358905,0.503623607,0.006648119,-0.509966691,0.379463087,-0.68034532,-0.524775071,1.195874833,0.154386374,-1.024965221,4.474136743,1.598332745,-0.639836895,0.340302551,0.353100381,-1.065411887,DECREASE
2.401256299,3.168996448,1.107558308,-0.471249895,0.561952554,0.161682293,-1.152924576,1.662984824,-0.038711729,3.628215017,1.042694238,-0.54376569,2.969155135,3.085614874,0.779625029,-1.031933831,0.158752236,0.098981944,0.109705398,0.085157605,0.173536721,0.057700953,-0.356863154,-0.689403959,0.186778322,0.269005007,-0.00147736,-0.506403956,0.604919884,-0.833655441,1.089946207,2.115673005,1.010138684,-1.02371426,3.483152087,1.037563925,-0.38312422,0.385785112,0.218385427,-0.960131149,DECREASE
2.096491437,3.213256644,0.577644085,-0.602928528,0.966984188,-0.199439721,-1.209219126,0.542729673,-0.536734786,1.94983975,0.899049049,-0.54376569,3.193750834,3.350429747,0.495655647,-1.044548162,-0.107561538,0.068535825,5.015521057,0.069889673,0.082059674,0.053339131,-0.428961802,-0.969440561,-0.505659565,-0.061930704,-0.341270121,-0.502128673,1.259919963,-0.053276861,0.558498586,1.160072729,0.73024977,-1.022463299,3.80376477,0.757179515,-0.511480557,0.596991488,-0.013218113,-1.009622094,INCREASE
2.096491437,3.202191595,0.611468397,-0.668767844,0.955817902,-0.167649062,-1.242995857,0.654755188,-0.474481904,2.789027383,1.355887847,-0.54376569,2.834397716,3.006170412,0.252253321,-1.044548162,0.149155343,0.039293789,0.04406276,0.113137298,0.126677498,0.033220229,-0.668500074,0.227127053,-0.083531655,0.327042239,0.121882186,-0.501416126,1.420731565,0.074782181,0.602473061,0.515108355,0.59641783,-1.021212338,3.454005479,0.52352584,-0.639836895,0.7015491,-0.114752043,-1.051914356,DECREASE
1.869538881,2.936630423,0.49872069,-0.701687502,0.997437694,-0.198446263,-1.259080014,0.598742431,-0.445527075,0.691058301,0.265597314,-0.54376569,2.901776426,3.138577848,0.373954484,-1.044548162,-0.111160372,0.069625234,0.08890981,0.102567192,0.110287277,-0.036459873,0.413928314,-1.062611618,-0.536516868,-0.222459221,-0.319109724,-0.498565938,1.657942034,0.278594461,0.046356832,0.926832552,0.206181908,-1.026216182,3.599738517,0.663718045,-0.639836895,0.642996838,-0.03843569,-1.054613862,INCREASE
1.888991957,3.102606155,0.374698213,-0.73460716,1.144122083,-0.330576188,-1.277576795,1.550959309,0.113301123,1.110652117,0.694178042,-0.54376569,2.452585029,2.820800001,0.049418048,-1.044548162,-0.379273563,0.05041723,0.103718789,0.173172739,0.187965719,0.087743,-0.719253727,-1.176719991,0.064583401,0.411011002,0.138133144,-0.504266315,0.139047072,-0.992376508,-0.707108261,0.978429701,-0.076602408,-1.011204652,3.279125834,0.3366029,-0.768193232,0.819699202,-0.22624028,-1.104104807,INCREASE
-0.782563855,-0.670575488,-0.48218436,-0.570008869,0.771574189,-1.000663667,0.397588182,-0.52151272,1.165809153,-0.567723149,-0.527983484,-0.54376569,-0.759133461,-0.727719295,-0.599654823,1.758636526,1.063859183,-0.447098731,-0.383454611,-0.45488502,-0.461759462,-0.375700554,-1.373359226,-1.472983014,-1.718968732,-1.009048951,1.673110009,0.984957038,0.009756681,0.098830828,0.157901843,0.142871774,-0.35166565,2.112444362,-0.626519578,-0.41108886,-0.768193232,1.336213805,-0.881897294,-1.104104807,INCREASE
-0.724204626,-0.593120147,-0.470909589,-0.537089211,0.81014863,-0.906781878,0.184473099,-0.577525477,0.068421138,-0.567723149,-0.527983484,-0.54376569,-0.714214322,-0.674756321,-0.559087769,1.758636526,1.063859183,-0.306278263,-0.233421798,-0.242308436,-0.246235057,-0.375700554,-1.373359226,-0.640201266,-0.783375295,-0.143429797,0.749760114,0.040832185,-0.060231093,0.69704091,-1.133446161,-1.119678894,-1.960222624,1.54826106,-0.59737297,-0.41108886,-0.639836895,0.96294313,-0.881897294,-0.461622358,DECREASE
-0.80850129,-0.725900732,-0.459634819,-0.602928528,0.26401575,-0.462706114,0.330838929,-0.689550992,-0.523705113,-0.567723149,-0.527983484,-0.54376569,-0.826512171,-0.807163757,-0.518520715,1.758636526,1.063859183,-0.014373946,-0.17339817,-0.034360592,-0.035403578,-0.375700554,-0.661859409,-0.600420365,-1.101822665,-1.104131226,-0.43729851,0.285235826,0.417395392,0.311060134,-0.274871346,-0.126170507,-1.885263869,1.528245688,-0.772252615,-0.41108886,-0.511480557,0.174578736,-0.881897294,0.895329369,DECREASE
-0.80850129,-0.714835683,-0.48218436,-0.570008869,0.51779497,-0.959435157,0.732942861,-0.577525477,0.924036332,-0.567723149,-0.527983484,-0.54376569,-0.781593031,-0.754200783,-0.599654823,1.758636526,1.063859183,-0.217749434,-0.141101993,-0.247628032,-0.25162842,0.714754867,-0.187526198,-1.909002621,-2.336114799,-1.715374423,1.673110009,1.421748385,0.634304064,0.975403994,-0.351558541,-0.357304679,-0.35166565,2.121201088,-0.655666185,-0.41108886,-0.768193232,1.336213805,-0.881897294,-1.104104807,INCREASE
-0.840923084,-0.770160928,-0.48218436,-0.570008869,0.010236531,-0.876481406,1.40284801,-0.633538235,0.682263511,-0.567723149,-0.527983484,-0.54376569,-0.871431311,-0.833645244,-0.518520715,-0.110246705,-0.60240132,-0.02113975,-0.033343039,0.082463264,0.054322376,-0.375700554,-1.373359226,-0.164400758,-1.307949451,-1.622761818,-0.78891015,0.335826668,0.519972892,-0.876341789,-0.218026293,1.247471983,-1.602157841,0.801437487,-0.801399223,-0.41108886,-0.511480557,0.029243655,-0.881897294,1.1454836,DECREASE
-0.802016932,-0.703770635,-0.459634819,-0.635848186,0.590375826,-0.497973876,-0.12836376,-0.689550992,-0.558450907,-0.567723149,-0.527983484,-0.54376569,-0.804052601,-0.78068227,-0.599654823,1.758636526,1.063859183,-0.25599343,-0.12088406,-0.211081717,-0.150485345,0.714754867,-0.582645763,-1.909002621,-1.425207204,-1.427657928,1.673110009,0.154127168,-0.184713163,-0.661707619,0.236734133,0.220267499,-0.35166565,1.873510857,-0.684812793,-0.41108886,-0.768193232,1.336213805,-0.881897294,-1.104104807,INCREASE
-0.899282313,-0.83655122,-0.459634819,-0.73460716,-0.497321908,1.275845536,-1.277576795,-0.633538235,3.577746399,-0.567723149,-0.527983484,-0.54376569,-0.98372916,-0.992534168,-0.599654823,1.758636526,1.063859183,7.197686687,0.083343314,0.581399919,0.588895746,-0.375700554,-1.373359226,0.708161891,0.338596254,-2.799559326,1.673110009,0.350790156,-0.977551757,-0.933457324,-3.428162983,-3.377843953,-0.35166565,0.562503982,-0.917985653,-0.41108886,-0.768193232,1.336213805,-0.881897294,-1.104104807,INCREASE
-0.795532573,-0.725900732,-0.459634819,-0.537089211,-0.035951287,-0.530261264,0.915498045,-0.689550992,-0.588853478,-0.567723149,-0.527983484,-0.54376569,-0.848971741,-0.833645244,-0.47795366,0.82433507,0.619403088,-0.365163695,-0.208425082,-0.316713695,-0.321672101,-0.375700554,3.369972886,1.897924878,-0.035394262,0.233194799,-0.78891015,0.145576603,0.433957384,0.065763939,-1.053541322,-1.26288731,-0.059873415,0.627553942,-0.830545831,-0.41108886,-0.38312422,-0.62424142,-0.881897294,2.270277804,DECREASE
-0.802016932,-0.714835683,-0.448360048,-0.635848186,0.34877801,-0.261530851,-0.12836376,-0.689550992,-0.558450907,-0.567723149,-0.527983484,-0.54376569,-0.826512171,-0.807163757,-0.599654823,1.758636526,1.063859183,-0.180422836,-0.055241423,-0.292326456,-0.296946681,0.714754867,1.946973253,-1.909002621,-0.837684149,-1.104131226,1.673110009,0.076459538,-0.740875546,-0.676136807,-0.754836655,-0.753233829,-0.35166565,1.278053536,-0.7139594,-0.41108886,-0.768193232,1.336213805,-0.881897294,-1.104104807,INCREASE
-0.789048214,-0.670575488,-0.470909589,-0.635848186,0.93703824,-0.775645411,-0.228889743,-0.633538235,0.011959222,-0.567723149,-0.527983484,-0.54376569,-0.804052601,-0.78068227,-0.599654823,1.758636526,1.063859183,-0.16041211,-0.033343039,-0.236712497,-0.240561519,-0.375700554,-1.373359226,-0.998752804,-0.914210261,-0.447199144,1.673110009,0.040832185,-0.448102265,-0.362301969,-0.896949288,-0.892756734,-0.35166565,1.76217535,-0.684812793,-0.41108886,-0.768193232,1.336213805,-0.881897294,-1.104104807,INCREASE
-0.769595138,-0.626315293,-0.48218436,-0.635848186,1.259845407,-1.016558996,-0.349520922,-0.689550992,-0.690195379,-0.567723149,-0.527983484,-0.54376569,-0.714214322,-0.674756321,-0.559087769,-1.044548162,-1.935169799,-0.166260517,-0.033343039,-0.282170863,-0.28665026,-0.375700554,-0.978239661,-0.499921248,-2.194171203,-1.481990657,-0.17358978,5.096353567,0.921734768,1.403469902,-0.643291645,-0.605286899,-1.960222624,2.705399762,-0.59737297,-0.41108886,-0.639836895,0.96294313,-0.881897294,-0.461622358,DECREASE
-0.516705146,-0.316493926,-0.380711424,-0.570008869,0.869025409,-0.44383041,-0.659140949,-0.409487205,0.088689518,-0.567723149,-0.527983484,-0.54376569,-0.467159053,-0.409941448,-0.47795366,-1.044548162,-0.002595523,-0.447098731,-0.383454611,-0.45488502,-0.461759462,-0.375700554,-1.373359226,-1.425874052,-0.29459561,0.044265084,0.195750178,-0.373157656,-0.70080621,-1.292383374,0.761210191,1.193242325,-0.277993741,-0.370712744,-0.335053502,-0.364358125,-0.511480557,0.708868133,-0.616449111,-0.384236517,INCREASE
-0.529673863,-0.338624024,-0.358161882,-0.635848186,0.831973643,-0.261530851,-0.894773852,-0.465499962,-0.098069128,-0.567723149,-0.527983484,-0.54376569,-0.579456902,-0.515867397,-0.518520715,0.357044182,0.363885818,-0.088740455,-0.103396862,0.005709093,-0.016001479,0.060481614,-0.899026014,0.251204967,0.533614411,0.590062039,0.688449681,-0.313303703,-0.250426874,-0.583549517,-0.484554515,-0.779558905,-1.525268818,-0.125524435,-0.422493325,-0.364358125,-0.639836895,0.838519572,-0.566013956,-0.675783174,DECREASE
-0.393502329,-0.183713341,-0.301788029,-0.570008869,0.711174735,-0.202420095,-0.799073117,-0.52151272,-0.558450907,-0.567723149,-0.527983484,-0.54376569,-0.422239913,-0.330496986,-0.599654823,1.758636526,1.063859183,-0.158462641,-0.213151352,-0.160925525,-0.163723601,0.714754867,0.67765758,-1.597560044,0.485477018,0.456699887,1.673110009,-0.41092265,-0.724313554,-0.608800596,-0.324744837,-0.330979602,-0.35166565,-0.444519429,-0.189320464,-0.41108886,-0.768193232,1.336213805,-0.881897294,-1.104104807,INCREASE
-0.270299513,-0.084127901,-0.166490781,-0.635848186,0.463486217,0.190989306,-1.043552307,-0.465499962,-0.545421234,-0.567723149,-0.527983484,-0.54376569,-0.309942064,-0.19808955,-0.599654823,1.758636526,1.063859183,-0.140458722,-0.130599171,-0.127004465,-0.129332154,-0.375700554,-0.993892657,-1.197657307,0.617546277,0.093658473,1.673110009,-0.430873968,-0.673559062,-0.447674664,-0.0378382,-0.049301284,-0.35166565,-0.424504057,-0.043587427,-0.41108886,-0.768193232,1.336213805,-0.881897294,-1.104104807,DECREASE
-0.516705146,-0.393949268,-0.290513258,-0.602928528,0.322384971,0.167643041,-0.782988959,-0.409487205,0.088689518,-0.567723149,-0.527983484,-0.54376569,-0.467159053,-0.409941448,-0.518520715,-1.044548162,-0.026587755,0.003400625,0.025000138,0.054138142,0.063568142,-0.375700554,-0.654744411,-1.103962817,-0.29459561,-0.871982295,1.001649966,-0.377432938,-0.651120234,-0.734454774,0.599255417,0.081271095,-1.556474823,-0.359454097,-0.305906895,-0.364358125,-0.639836895,0.917983357,-0.616449111,-0.744170662,INCREASE
-0.477798993,-0.239038585,-0.380711424,-0.602928528,1.039565045,-0.508405186,-0.824807768,-0.409487205,-0.024234314,0.271464484,2.83708168,-0.54376569,-0.377320774,-0.277534011,-0.47795366,-1.044548162,-0.649785978,-0.10984059,0.054145469,-0.019921688,-0.038835719,-0.15760947,-0.899026014,-0.508296174,-0.58959143,-0.437320466,0.09011895,-0.303328044,0.306804025,0.799247658,0.910830662,0.345574863,-1.598297305,0.173455186,-0.189320464,-0.364358125,-0.511480557,0.813425745,-0.660911681,-0.50391462,DECREASE
-0.438892841,-0.161583243,-0.403260965,-0.570008869,1.183711641,-0.691698202,-0.755645892,-0.52151272,-0.496198025,-0.567723149,-0.527983484,-0.54376569,-0.309942064,-0.19808955,-0.47795366,-0.34375199,-0.66658054,-0.144931033,-0.072255994,-0.137781829,-0.140258968,-0.193976158,-0.400501809,-0.753262773,-0.677226171,-0.294079636,-0.031763236,-0.227798056,-0.595023163,-0.161495771,1.028274687,0.408228545,-1.543928079,0.207231127,-0.101880642,-0.364358125,-0.511480557,0.860999459,-0.680820295,-0.558804577,INCREASE
-0.205455925,-0.017737609,-0.166490781,-0.504169553,0.4233891,0.066807046,-0.779772128,0.486716916,1.571176757,0.691058301,1.433597539,-0.54376569,-0.130265505,-0.065682113,-0.275118388,-1.044548162,-0.358880166,-0.205651259,-0.233421798,-0.243759235,-0.218147541,-0.375700554,-0.187526198,-0.380578546,0.083097783,-0.006363141,0.031763236,-0.409497556,-0.317743358,-0.352682511,-1.109313827,0.17235586,-0.325607027,-0.288149334,0.043852396,-0.13070445,-0.511480557,0.363828014,0.043853247,-0.685681363,DECREASE
-0.224909001,-0.161583243,-0.019918762,-0.602928528,-0.082139105,0.688711807,-0.984845133,0.374691401,1.384418111,0.691058301,1.00737165,-0.54376569,-0.265022924,-0.171608062,-0.275118388,-1.044548162,0.37648174,-0.10255875,-0.114477339,-0.025448541,-0.021464886,-0.171240163,-0.240651517,-1.052666393,0.637294951,-0.559569105,0.388545636,-0.439424532,-0.739807031,-0.870930843,1.66483203,0.47877975,1.343431688,-0.554603975,-0.072734034,-0.13070445,-0.511480557,0.263975494,0.138750972,-0.642489266,STABLE
-0.477798993,-0.338624024,-0.267963717,-0.635848186,0.396488503,0.191486035,-0.937396869,-0.185436175,0.790844119,-0.148129332,0.496371552,-0.54376569,-0.444699483,-0.409941448,-0.437386606,-0.789738674,-0.334887934,0.00907702,0.134071945,0.005709093,0.029807088,-0.01219724,-0.846375028,-0.876792938,-0.067485857,-0.378048398,0.388545636,-0.373157656,-0.514884491,-0.513207226,0.785342525,-0.289385982,0.30816442,-0.1330302,-0.335053502,-0.31762739,-0.511480557,0.532165769,-0.371573161,-0.412131413,DECREASE
-0.490767711,-0.37181917,-0.290513258,-0.537089211,0.275182036,0.088166395,-0.577915955,-0.409487205,0.011959222,0.271464484,1.433597539,-0.54376569,-0.354861204,-0.277534011,-0.396819551,-0.733114343,0.119764859,-0.103074786,-0.070628057,-0.060129544,-0.06531223,-0.254550957,-0.469754458,-0.922855033,-0.914210261,-1.588186445,0.134439745,-0.353918885,-0.270194413,-0.217408874,1.178967706,1.11216109,0.63566662,-0.044211986,-0.189320464,-0.270896655,-0.511480557,0.519618856,-0.259421303,-0.541707705,INCREASE
